# Database,Tag,Query,Min,Max,Average
foo,default,01,0.018579959869384766,0.018579959869384766,0.018579959869384766
foo,default,02,0.006323575973510742,0.006323575973510742,0.006323575973510742
foo,default,03,0.006516456604003906,0.006516456604003906,0.006516456604003906
foo,default,04,0.00691676139831543,0.00691676139831543,0.00691676139831543
foo,default,05,0.006712913513183594,0.006712913513183594,0.006712913513183594
foo,default,06,0.0073795318603515625,0.0073795318603515625,0.0073795318603515625
foo,default,07,0.006432056427001953,0.006432056427001953,0.006432056427001953
foo,default,08,0.006043195724487305,0.006043195724487305,0.006043195724487305
foo,default,09,0.005799293518066406,0.005799293518066406,0.005799293518066406
foo,default,10,0.005800485610961914,0.005800485610961914,0.005800485610961914
foo,default,11,0.006052970886230469,0.006052970886230469,0.006052970886230469
foo,default,12,0.012912511825561523,0.012912511825561523,0.012912511825561523
foo,default,13,0.006146430969238281,0.006146430969238281,0.006146430969238281
foo,default,14,0.0066165924072265625,0.0066165924072265625,0.0066165924072265625
foo,default,15,0.005979299545288086,0.005979299545288086,0.005979299545288086
foo,default,16,0.0061855316162109375,0.0061855316162109375,0.0061855316162109375
foo,default,17,0.0068476200103759766,0.0068476200103759766,0.0068476200103759766
foo,default,18,0.005985260009765625,0.005985260009765625,0.005985260009765625
foo,default,19,0.0063419342041015625,0.0063419342041015625,0.0063419342041015625
foo,default,20,0.006058692932128906,0.006058692932128906,0.006058692932128906
foo,default,21,0.006173133850097656,0.006173133850097656,0.006173133850097656
foo,default,22,0.006711006164550781,0.006711006164550781,0.006711006164550781
# Database,Tag,Query,Min,Max,Average
foo,default,01,0.006493806838989258,0.006493806838989258,0.006493806838989258
foo,default,02,0.0066525936126708984,0.0066525936126708984,0.0066525936126708984
foo,default,03,0.006841182708740234,0.006841182708740234,0.006841182708740234
foo,default,04,0.00665283203125,0.00665283203125,0.00665283203125
foo,default,05,0.006664752960205078,0.006664752960205078,0.006664752960205078
foo,default,06,0.006520986557006836,0.006520986557006836,0.006520986557006836
foo,default,07,0.006800174713134766,0.006800174713134766,0.006800174713134766
foo,default,08,0.00967264175415039,0.00967264175415039,0.00967264175415039
foo,default,09,0.006461381912231445,0.006461381912231445,0.006461381912231445
foo,default,10,0.0065517425537109375,0.0065517425537109375,0.0065517425537109375
foo,default,11,0.006042957305908203,0.006042957305908203,0.006042957305908203
foo,default,12,0.005926609039306641,0.005926609039306641,0.005926609039306641
foo,default,13,0.005644083023071289,0.005644083023071289,0.005644083023071289
foo,default,14,0.006513833999633789,0.006513833999633789,0.006513833999633789
foo,default,15,0.005955219268798828,0.005955219268798828,0.005955219268798828
foo,default,16,0.006392002105712891,0.006392002105712891,0.006392002105712891
foo,default,17,0.006256103515625,0.006256103515625,0.006256103515625
foo,default,18,0.0064542293548583984,0.0064542293548583984,0.0064542293548583984
foo,default,19,0.0061206817626953125,0.0061206817626953125,0.0061206817626953125
foo,default,20,0.005980730056762695,0.005980730056762695,0.005980730056762695
foo,default,21,0.006524324417114258,0.006524324417114258,0.006524324417114258
foo,default,22,0.006318330764770508,0.006318330764770508,0.006318330764770508
